,nom bateau ,Numéro de voile,Anciens noms du bateau,Architecte,Chantier,Date de lancement,Longueur,Largeur,Tirant d'eau,Déplacement (poids),Nombre de dérives,Hauteur mât,Voile quille,Surface de voiles au près
0,newrest - art & fenêtres,fra 56,"no way back, vento di sardegna",vplp/verdier,persico marine,01 août 2015,"18,28 m","5,85 m","4,50 m",7 t,foils,29 m,monotype,320 m2
1,pure - best western®,fra 49,"gitana eighty, synerciel, newrest-matmut",bruce farr design,southern ocean marine (nouvelle zélande),08 mars 2007,"18,28m","5,80m","4,50m",9t,2,28m,acier forgé,280 m2
2,tse -  4myplanet,fra72,"famille mary-etamine du lys, initiatives coeur, le pingouin",marc lombard,mag france,01 mars 1998,"18,28m","5,54m","4,50m",9t,2,29 m,acier,260 m2
3,maître coq iv,17,safran 2 - des voiles et vous,verdier - vplp,cdk technologies,12 mars 2015,"18,28 m","5,80 m","4,50 m",8 t,foils,29 m,acier mécano soudé,310 m2
4,charal,08,,vplp,cdk technologies,18 août 2018,"18,28 m","5,85 m","4,50 m",8t,foils,29 m,acier,320 m2
5,la mie câline - artisans artipôle,fra 14,"ecover3, président, gamesa, kilcullen voyager-team ireland",owen clarke design llp - clay oliver,hakes marine - mer agitée,03 août 2007,"18,28 m","5,65 m","4,50 m","7,9 tonnes",foils,29 m,basculante avec vérin,300 m²
6,bureau vallee 2,18,banque populaire viii,verdier - vplp,cdk technologies,09 juin 2015,"18,28 m","5,80 m","4,50 m","7,6 t",foils,28 m,acier,300 m2
7,one planet one ocean,esp 33,kingfisher - educacion sin fronteras - forum maritim catala - one planet one ocean & pharmaton,owen clarke design,martens yachts,02 février 2000,"18,28 m","5,30 m","4,50 m","8,9 t",2,26 m,acier,240 m2
8,groupe sétin,fra 71,"paprec-virbac2, estrella damm, we are water, la mie câline",bruce farr yacht design,southern ocean marine (nouvelle-zélande),02 février 2007,"18,28 m","5,80 m","4,50 m",9 t,2 asymétriques,"28,50",basculante sur vérin hydraulique,270 m2
9,banque populaire x,fra30,macif - sma,verdier - vplp,cdk - mer agitée,01 mars 2011,"18,28 m","5,70 m","4,5 m","7,7 t",2,29 m,acier forgé,340 m2
10,apivia,fra 79,,verdier,cdk technologies - merconcept,05 août 2019,"18,28 m","5,85 m","4,50 m",8 t,foils,29 m,acier,350 m2
11,initiatives-coeur,fra109,maître coq - banque populaire vii- foncia ii,vplp - verdier,cdk technologies,20 septembre 2010,"18,28 m","5,70 m","4,50 m","7,8 t",foils,27 m,acier forgé,300 m2
12,merci,69,"foresight natural energy, maisonneuve",lavanos,artech do brasil,15 janvier 2005,"18,28 m","5,60 m","4,50 m","8,5 t",2,29 m,acier,250 m2
13,omia - water family ,fra09,"spirit of yukoh, neutrogena, hugo boss, estrella damm, veolia environnement, bt",bruce farr design,offshore challenge - cowes,03 juillet 2007,"18,28 m","5,85 m","4,50 m",8 t,2,29 m,acier forgé,300 m2
14,prb,fra 85,,verdier - vplp,cdk technologies,08 mars 2010,"18,28 m","5,50 m","4,50 m",nc,foils,"27,40 m",acier mécano soudé,300 m2
15,compagnie du lit / jiliti,fra83,"delta dore, bureau vallée, vers un monde sans sida",bruce farr design,jmv cherbourg,26 juillet 2006,"18,28 m","5,75 m","4,50 m","8,5 t",2,29 m,acier forgé,300 m2
16,medallia,gbr77,"armor lux, we are water, la fabrique",pierre rolland,bernard stamm,03 juillet 1999,"18,28 m","5,70 m","4,50 m",9 t,2,29 m,carbone,300 m2
17,seaexplorer - yacht club de monaco,16,"edmond de rothschild, malizia - yacht club de monaco",verdier - vplp,multiplast,07 août 2015,"18,28 m","5,70 m","4,50 m","7,6 t",foils,29 m,acier,290 m2
18,stark,fin222,"aviva, gaes centros auditivos",owen clarke design,hakes marine - wellington (nouvelle-zélande),06 août 2007,"18,28 m","5,80 m","4,50 m","8,5 t",2,28 m,acier,270 m2
19,macsf,fra 27,"quéguiner, safran",verdier - vplp,chantier naval de larros,04 juillet 2007,"18,28 m","5,60 m","4,50 m","7,7 t",foils,27 m,acier,300 m2
20,yes we cam!,001,"cheminées poujoulat, mare, maître coq, mapfre, foncia",bruce farr design,cdk technologies,03 janvier 2007,"18,28 m","5,90 m","4,50 m",8 t,2,28 m,acier forgé,300 m2
21,time for oceans,fra 92,"hugo boss, energa, compagnie du lit-boulogne billancourt",finot-conq design,neville hutton,01 juin 2007,"18,28 m","5,84 m","4,50 m","8,5 t",foils,28 m,monotype,300 m2
