,SurlorthoVitesse,SurlorthoDistance,SurlefondVitesse,SurlefondDistance,distfond/distortho,Voile,Rang_arrivée,Skipper,Bateau,nom,Numéro de voile,Anciens noms du bateau,Architecte,Chantier,Longueur,Largeur,Tirant d'eau,Déplacement (poids),Hauteur mât,Voile quille,Surface de voiles au près,Foils,Year_launched
0,12.6,24365.7,14.8,28583.8,117.3,17,1,Yannick Bestaven,maître coq iv,maître coq iv,17.0,safran 2 - des voiles et vous,verdier - vplp,cdk technologies,18.28,5.8,4.5,8.0,29.0,acier,310.0,foils,2015
1,12.6,24365.7,15.1,29135.0,119.6,79,2,Charlie Dalin,apivia,apivia,79.0,,verdier,cdk technologies - merconcept,18.28,5.85,4.5,8.0,29.0,acier,350.0,foils,2019
2,12.6,24365.7,14.8,28650.0,117.6,18,3,Louis Burton,bureau vallée 2,bureau vallee 2,18.0,banque populaire viii,verdier - vplp,cdk technologies,18.28,5.8,4.5,7.6,28.0,acier,300.0,foils,2015
3,12.5,24365.7,14.1,27501.5,112.9,1,4,Jean Le Cam,yes we cam !,yes we cam!,1.0,"cheminées poujoulat, mare, maître coq, mapfre, foncia",bruce farr design,cdk technologies,18.28,5.9,4.5,8.0,28.0,acier,300.0,no foils,2007
4,12.6,24365.7,14.7,28448.5,116.8,10,5,Boris Herrmann,seaexplorer - yacht club de monaco,seaexplorer - yacht club de monaco,10.0,"edmond de rothschild, malizia - yacht club de monaco",verdier - vplp,multiplast,18.28,5.7,4.5,7.6,29.0,acier,290.0,foils,2015
5,12.6,24365.7,15.1,29175.5,119.7,59,6,Thomas Ruyant,linkedout,linkedout,59.0,,verdier,persico,18.28,5.85,4.5,8.0,29.0,acier,350.0,foils,2019
6,12.5,24365.7,14.2,27512.3,112.9,1000,7,Damien Seguin,groupe apicil,groupe apicil,1000.0,"comme un seul homme, dcns",groupe finot-conq,multiplast,18.28,5.85,4.5,8.5,29.0,acier,350.0,no foils,2008
7,12.5,24365.7,14.7,28489.9,116.9,34,8,Giancarlo Pedote,prysmian group,prysmian group,34.0,saint-michel - virbac,vplp - verdier,multiplast,18.28,5.8,4.5,8.0,29.0,acier,300.0,foils,2015
8,12.4,24365.7,14.2,27832.5,114.2,9,9,Benjamin Dutreux,omia - water family,omia - water family ,9.0,"spirit of yukoh, neutrogena, hugo boss, estrella damm, veolia environnement, bt",bruce farr design,offshore challenge - cowes,18.28,5.85,4.5,8.0,29.0,acier,300.0,no foils,2007
9,12.3,24365.7,13.8,27346.9,112.2,53,10,Maxime Sorel,v and b mayenne,v and b-mayenne,53.0,"le souffle du nord, groupe bel",verdier - vplp,"indiana yachting (scarlino, italie)",18.28,5.5,4.5,7.7,29.0,acier,365.0,no foils,2007
10,12.0,24365.7,13.9,28315.2,116.2,2,11,Armel Tripon,l'occitane en provence,l'occitane en provence,2.0,,samuel manuard,black pepper©,18.28,5.5,4.5,7.8,28.0,acier,270.0,foils,2020
11,11.7,24365.7,13.2,27697.1,113.7,30,12,Clarisse Cremer,banque populaire x,banque populaire x,30.0,macif - sma,verdier - vplp,cdk - mer agitée,18.28,5.7,4.5,7.7,29.0,acier,340.0,no foils,2011
12,11.3,24365.7,13.8,29728.5,122.0,8,13,Jérémie Beyou,charal,charal,8.0,,vplp,cdk technologies,18.28,5.85,4.5,8.0,29.0,acier,320.0,foils,2018
13,11.3,24365.7,12.8,27597.0,113.3,49,14,Romain Attanasio,pure - best western hotels and resorts,pure - best western®,49.0,"gitana eighty, synerciel, newrest-matmut",bruce farr design,southern ocean marine (nouvelle zélande),18.28,5.8,4.5,9.0,28.0,acier,280.0,no foils,2007
14,10.7,24365.7,12.5,28456.7,116.8,14,15,Arnaud Boissieres,la mie câline - artisans artipôle,la mie câline - artisans artipôle,14.0,"ecover3, président, gamesa, kilcullen voyager-team ireland",owen clarke design llp - clay oliver,hakes marine - mer agitée,18.28,5.65,4.5,7.9,29.0,basculante,300.0,foils,2007
15,10.7,24365.7,12.8,29067.7,119.3,11,16,Kojiro Shiraishi,dmg mori global one,dmg mori global one,11.0,,vplp,multiplast,18.28,5.85,4.5,8.0,29.0,acier,320.0,foils,2019
16,10.7,24365.7,12.5,28603.3,117.4,7,17,Alan Roura,la fabrique,la fabrique,7.0,"brit air, votre nom autour du monde, macsf",groupe finot-conq,multiplast,18.28,5.9,4.5,,27.0,carbone,290.0,foils,2007
17,10.6,24365.7,12.5,28663.5,117.6,92,18,Stéphane Le Diraison,time for oceans,time for oceans,92.0,"hugo boss, energa, compagnie du lit-boulogne billancourt",finot-conq design,neville hutton,18.28,5.84,4.5,8.5,28.0,monotype,300.0,foils,2007
18,10.6,24365.7,12.2,27976.9,114.8,777,19,Pip Hare,medallia,medallia,777.0,"armor lux, we are water, la fabrique",pierre rolland,bernard stamm,18.28,5.7,4.5,9.0,29.0,carbone,300.0,no foils,1999
19,10.4,24365.7,12.1,28172.7,115.6,33,20,Didac Costa,one planet one ocean,one planet one ocean,33.0,kingfisher - educacion sin fronteras - forum maritim catala - one planet one ocean & pharmaton,owen clarke design,martens yachts,18.28,5.3,4.5,8.9,26.0,acier,240.0,no foils,2000
20,10.2,24365.7,11.7,28137.8,115.5,83,21,Clément Giraud,compagnie du lit - jiliti,compagnie du lit / jiliti,83.0,"delta dore, bureau vallée, vers un monde sans sida",bruce farr design,jmv cherbourg,18.28,5.75,4.5,8.5,29.0,acier,300.0,no foils,2006
21,10.0,24365.7,11.4,27656.2,113.5,50,22,Miranda Merron,campagne de france,campagne de france,50.0,"great america iv, mirabaud, temenos",owen clarke,"southern ocean marine, tauranga",18.28,5.5,4.5,8.5,28.0,carbone,330.0,no foils,2006
22,9.8,24365.7,11.7,29115.7,119.5,71,23,Manuel Cousin,groupe sétin,groupe sétin,71.0,"paprec-virbac2, estrella damm, we are water, la mie câline",bruce farr yacht design,southern ocean marine (nouvelle-zélande),18.28,5.8,4.5,9.0,28.5,basculante,270.0,no foils,2007
23,9.1,24365.7,10.5,28170.7,115.6,72,24,Alexia Barrier,tse - 4myplanet,tse -  4myplanet,72.0,"famille mary-etamine du lys, initiatives coeur, le pingouin",marc lombard,mag france,18.28,5.54,4.5,9.0,29.0,acier,260.0,no foils,1998
24,8.7,24365.7,10.4,29122.0,119.5,222,25,Ari Huusela,stark,stark,222.0,"aviva, gaes centros auditivos",owen clarke design,hakes marine - wellington (nouvelle-zélande),18.28,5.8,4.5,8.5,28.0,acier,270.0,no foils,2007
